Ell with T and measured substrate Opt. Const. of B-Spline vs. nm, n (E with T amd substrate),k (E with T and substrate measured)
1633.498779,1.887465,13.939587
1636.932739,1.889899,13.959553
1640.366455,1.892321,13.979411
1643.799561,1.89473,13.999161
1647.232422,1.897126,14.018801
1650.664795,1.899509,14.038334
1654.097046,1.901881,14.057761
1657.528687,1.904239,14.077081
1660.960205,1.906585,14.096295
1664.391235,1.908919,14.115405
1667.821899,1.91124,14.13441
1671.252197,1.913549,14.153311
1674.682007,1.915846,14.172109
1678.111572,1.91813,14.190803
1681.540649,1.920403,14.209394
1684.96936,1.922663,14.227884
1688.397705,1.924911,14.246273
